date,exam_period,period_label,day_of_week,semester,notes
2025-09-01,0,Outside Semester,Monday,Semester 1,
2025-09-02,0,Semester 1 – Teaching,Tuesday,Semester 1,
2025-09-03,0,Semester 1 – Teaching,Wednesday,Semester 1,
2025-09-04,0,Semester 1 – Teaching,Thursday,Semester 1,
2025-09-05,0,Semester 1 – Teaching,Friday,Semester 1,
2025-09-08,0,Semester 1 – Teaching,Monday,Semester 1,
2025-09-09,0,Semester 1 – Teaching,Tuesday,Semester 1,
2025-09-10,0,Semester 1 – Teaching,Wednesday,Semester 1,
2025-09-11,0,Semester 1 – Teaching,Thursday,Semester 1,
2025-09-12,0,Semester 1 – Teaching,Friday,Semester 1,
2025-09-15,0,Semester 1 – Teaching,Monday,Semester 1,
2025-09-16,0,Semester 1 – Teaching,Tuesday,Semester 1,
2025-09-17,0,Semester 1 – Teaching,Wednesday,Semester 1,
2025-09-18,0,Semester 1 – Teaching,Thursday,Semester 1,
2025-09-19,0,Semester 1 – Teaching,Friday,Semester 1,
2025-09-22,0,Semester 1 – Teaching,Monday,Semester 1,
2025-09-23,0,Semester 1 – Teaching,Tuesday,Semester 1,
2025-09-24,0,Semester 1 – Teaching,Wednesday,Semester 1,
2025-09-25,0,Semester 1 – Teaching,Thursday,Semester 1,
2025-09-26,0,Semester 1 – Teaching,Friday,Semester 1,
2025-09-29,0,Semester 1 – Teaching,Monday,Semester 1,
2025-09-30,0,Semester 1 – Teaching,Tuesday,Semester 1,
2025-10-01,0,Semester 1 – Teaching,Wednesday,Semester 1,
2025-10-02,0,Semester 1 – Teaching,Thursday,Semester 1,
2025-10-03,0,Semester 1 – Teaching,Friday,Semester 1,
2025-10-06,0,Semester 1 – Teaching,Monday,Semester 1,
2025-10-07,0,Semester 1 – Teaching,Tuesday,Semester 1,
2025-10-08,0,Semester 1 – Teaching,Wednesday,Semester 1,
2025-10-09,0,Semester 1 – Teaching,Thursday,Semester 1,
2025-10-10,0,Public Holiday – Moi Day,Friday,Semester 1,Public Holiday
2025-10-13,0,Semester 1 – Teaching,Monday,Semester 1,
2025-10-14,0,Semester 1 – Teaching,Tuesday,Semester 1,
2025-10-15,0,Semester 1 – Teaching,Wednesday,Semester 1,
2025-10-16,0,Semester 1 – Teaching,Thursday,Semester 1,
2025-10-17,0,Semester 1 – Teaching,Friday,Semester 1,
2025-10-20,0,Public Holiday – Mashujaa Day,Monday,Semester 1,Public Holiday
2025-10-21,1,Semester 1 – CAT Week,Tuesday,Semester 1,
2025-10-22,1,Semester 1 – CAT Week,Wednesday,Semester 1,
2025-10-23,1,Semester 1 – CAT Week,Thursday,Semester 1,
2025-10-24,1,Semester 1 – CAT Week,Friday,Semester 1,
2025-10-27,1,Semester 1 – CAT Week,Monday,Semester 1,
2025-10-28,1,Semester 1 – CAT Week,Tuesday,Semester 1,
2025-10-29,1,Semester 1 – CAT Week,Wednesday,Semester 1,
2025-10-30,1,Semester 1 – CAT Week,Thursday,Semester 1,
2025-10-31,1,Semester 1 – CAT Week,Friday,Semester 1,
2025-11-03,0,Semester 1 – Teaching,Monday,Semester 1,
2025-11-04,0,Semester 1 – Teaching,Tuesday,Semester 1,
2025-11-05,0,Semester 1 – Teaching,Wednesday,Semester 1,
